order_item_id,order_id,product_id,quantity,unit_price
1,1,51,2,779
2,1,67,3,229
3,2,107,1,429
4,3,87,2,219
5,4,33,2,849
6,5,103,3,2229
7,5,13,2,2419
8,5,80,3,669
9,6,76,1,999
10,7,111,1,479
11,7,101,1,3679
12,8,41,1,1269
13,8,76,1,999
14,9,16,1,2829
15,9,59,1,769
16,10,67,1,229
17,10,104,2,379
18,11,94,1,889
19,11,87,3,219
20,11,4,1,9779
21,12,13,1,2419
22,12,33,1,849
23,13,85,2,1849
24,13,87,3,219
25,14,5,1,16419
26,15,103,1,2229
27,16,79,1,919
28,17,82,1,1249
29,17,110,1,3309
30,18,78,1,2029
31,18,16,2,2829
32,19,24,2,3709
33,20,120,1,639
34,21,86,2,249
35,22,20,1,20069
36,23,117,1,799
37,24,107,2,429
38,25,13,1,2419
39,26,45,1,1869
40,27,95,1,1949
41,28,94,1,889
42,29,85,1,1849
43,30,72,1,2639
44,31,31,1,559
45,32,107,1,429
46,32,29,2,1079
47,32,9,2,11269
48,33,60,1,679
49,33,28,1,1269
50,34,2,1,1219
51,35,51,1,779
52,36,106,1,419
53,36,99,1,769
54,36,53,1,319
55,37,38,1,339
56,37,90,2,1329
57,37,104,1,379
58,38,9,1,11269
59,38,10,1,13239
60,38,73,1,399
61,39,114,2,879
62,40,50,2,2799
63,40,39,2,409
64,40,99,1,769
65,40,113,1,559
66,41,97,1,1049
67,41,21,1,1179
68,41,12,1,18439
69,41,22,1,13689
70,42,70,1,1079
71,43,16,1,2829
72,43,86,1,249
73,44,13,2,2419
74,44,113,1,559
75,45,105,1,4109
76,45,45,2,1869
77,45,119,1,379
78,46,91,1,1129
79,47,84,1,219
80,48,77,1,259
81,48,3,1,6139
82,49,84,3,219
83,49,14,1,1959
84,50,77,1,259
85,51,29,1,1079
86,51,87,1,219
87,52,88,1,509
88,52,85,2,1849
89,52,73,1,399
90,52,106,1,419
91,53,92,1,219
92,54,80,1,669
93,54,93,1,849
94,55,68,1,859
95,56,4,1,9779
96,56,91,1,1129
97,57,59,1,769
98,58,72,1,2639
99,59,18,1,10659
100,59,79,1,919
101,59,10,1,13239
102,59,43,2,209
103,60,37,1,1449
104,60,50,1,2799
105,61,1,1,3829
106,62,57,1,1059
107,63,22,1,13689
108,64,53,2,319
109,64,55,1,1309
110,64,69,2,659
111,65,1,1,3829
112,66,38,1,339
113,66,12,1,18439
114,66,21,1,1179
115,67,102,1,3799
116,67,69,2,659
117,67,106,2,419
118,68,80,2,669
119,69,64,1,409
120,70,67,1,229
121,71,83,1,449
122,72,118,1,499
123,72,58,2,329
124,73,109,1,3939
125,73,38,1,339
126,74,68,2,859
127,75,64,3,409
128,75,1,2,3829
129,75,72,2,2639
130,76,18,1,10659
131,76,79,1,919
132,77,92,1,219
133,78,86,2,249
134,78,11,1,3959
135,79,103,1,2229
136,79,14,1,1959
137,80,120,1,639
138,80,111,1,479
139,81,53,2,319
140,81,41,1,1269
141,81,114,2,879
142,82,91,2,1129
143,82,3,1,6139
144,83,26,1,4509
145,84,3,3,6139
146,85,93,2,849
147,85,43,1,209
148,86,17,1,949
149,87,5,2,16419
150,87,59,1,769
151,87,13,1,2419
152,88,18,1,10659
153,88,39,1,409
154,89,88,1,509
155,89,44,1,4769
156,89,96,3,2909
157,89,114,1,879
158,90,11,2,3959
159,91,8,1,659
160,91,32,1,1029
161,91,13,2,2419
162,92,45,1,1869
163,92,61,3,1759
164,93,44,2,4769
165,93,43,1,209
166,94,41,1,1269
167,94,28,3,1269
168,95,27,1,1069
169,96,72,1,2639
170,96,4,1,9779
171,97,119,1,379
172,98,112,1,139
173,98,26,1,4509
174,99,58,2,329
175,100,1,1,3829
176,101,102,1,3799
177,102,28,2,1269
178,102,40,2,549
179,102,92,1,219
180,103,53,1,319
181,104,80,1,669
182,105,51,1,779
183,106,83,1,449
184,107,69,1,659
185,108,64,2,409
186,109,118,2,499
187,110,119,1,379
188,110,11,1,3959
189,110,38,1,339
190,111,31,2,559
191,111,28,1,1269
192,112,15,1,4069
193,113,110,2,3309
194,114,30,1,299
195,115,78,1,2029
196,116,57,1,1059
197,117,74,1,569
198,118,106,1,419
199,119,120,1,639
200,120,79,1,919
201,121,49,2,1609
202,121,40,1,549
203,122,101,2,3679
204,122,54,1,199
205,122,108,1,909
206,123,74,1,569
207,124,54,1,199
208,125,66,2,399
209,125,92,1,219
210,126,70,2,1079
211,127,118,1,499
212,128,49,1,1609
213,128,19,1,579
214,129,19,1,579
215,130,8,1,659
216,131,13,2,2419
217,132,32,1,1029
218,132,81,2,2109
219,133,96,1,2909
220,134,37,1,1449
221,135,102,1,3799
222,135,117,1,799
223,135,67,2,229
224,136,77,1,259
225,137,76,1,999
226,138,88,1,509
227,139,88,1,509
228,140,5,2,16419
229,140,117,3,799
230,140,38,2,339
231,141,71,1,1049
232,142,44,1,4769
233,142,117,3,799
234,143,94,1,889
235,143,39,1,409
236,143,24,2,3709
237,144,44,1,4769
238,145,72,2,2639
239,145,117,1,799
240,145,111,1,479
241,145,36,1,3429
242,146,92,1,219
243,147,56,2,1759
244,147,37,1,1449
245,148,77,2,259
246,148,63,1,339
247,149,4,1,9779
248,150,81,1,2109
249,151,41,1,1269
250,151,72,1,2639
251,151,34,2,349
252,152,105,2,4109
253,152,92,1,219
254,153,50,1,2799
255,154,94,1,889
256,154,68,1,859
257,154,4,1,9779
258,155,76,1,999
259,155,32,2,1029
260,155,120,2,639
261,156,32,1,1029
262,156,106,1,419
263,156,22,1,13689
264,157,104,1,379
265,157,100,2,859
266,158,43,1,209
267,159,76,1,999
